Session date,Directory,Error,Type,Advisory,Instrument,EPU Session,EPU session date,Supervisor size (GB),Grid_type,I0 set,I0 min int,I0 max int,Grids,Atlas,Setup time (hrs),Total squares,Targeted squares,Collected squares,Average Foils per Square,Movie_dir,Movie_format,Movie_ext,Total_movies,superres bin,Size (TB),Tilt,Collection time (hrs),Rate (mic/hr),Total_EPU_mics,Rate (um^2/hr),Total area (um^2),Mag (X),apix (A/px),Hole (um),Space (um),Hole_measured (um),Space_measured (um),Beam (um),Shots per hole,ShotID,Stage wait (s),AFIS/Accurate,AFIS wait (s),AFIS radius (um),Exposure time (s),Dose rate (e/A2/s),Dose,Total dose (e/A2),Fractions,Fraction dose (e/A2),Defocus max (um),Defocus min (um),Processed,Relion,Jobs,Processed size (TB),Report path,Session report,epuVersion,~rate
26/05/2023,anonymsed,None,SPA,0,Krios4,anonymsed,26/05/2023 14:06,,HoleyCarbon,TRUE,1,1,2,Sample5,1.2,481,8,8,223,anonymsed,Tiff Lzw Non-Gain normalized,.jpg,28545,2,,0,23.2,308,7136,50,1156,105000,0.829,1.2,1.3,1.4,1.3,0.8,4,,5,AFIS,1,12,3,21.827,estimated,65.5,75,0.9,xml read error,xml read error,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1296.0,0.21
30/05/2023,anonymsed,None,SPA,0,Krios3,anonymsed,30/05/2023 14:29,,HoleyCarbon,FALSE,699,1925,1,Sample3,0.5,462,2,2,86,anonymsed,Gain normalized,.xml,1365,1,,0,1.2,298,341,113,129,81000,1.501,2,1,1.7,1.6,1.1,3,,5,AFIS,0.5,12,7.99,3.107,estimated,24.9,Unknown,N.D.,-2.29,-0.5,Y,anonymsed,4,,anonymsed,anonymsed,3.0.0-1263.0,0.48
30/05/2023,anonymsed,None,SPA,0,Krios3,anonymsed,30/05/2023 16:08,,HoleyCarbon,FALSE,699,1925,1,Sample3,0.5,462,2,2,82,anonymsed,Gain normalized,.jpg,2640,1,,0,1.7,388,660,89,152,105000,1.171,2,1,1.7,1.6,0.9,4,,5,AFIS,0.5,12,5.54,5.105,estimated,28.3,Unknown,N.D.,-2.29,-0.5,Y,anonymsed,4,,anonymsed,anonymsed,3.0.0-1265.0,0.38
30/05/2023,anonymsed,None,SPA,0,Krios3,anonymsed,31/05/2023 09:14,,HoleyCarbon,FALSE,699,1925,1,Sample3,0.3,462,2,2,107,anonymsed,Gain normalized,.jpg,3528,1,,0,1.7,544,882,77,126,130000,0.921,2,1,1.7,1.6,0.7,7,,5,AFIS,0.5,12,3.75,8.253,estimated,31,Unknown,N.D.,-2.29,-0.5,Y,anonymsed,3,,anonymsed,anonymsed,3.0.0-1271.0,0.33
30/05/2023,anonymsed,None,SPA,0,Krios3,anonymsed,31/05/2023 11:22,,HoleyCarbon,FALSE,699,1925,1,Sample3,0.4,462,2,2,96,anonymsed,Gain normalized,.mrc,3520,1,,0,1.2,758,880,66,77,165000,0.723,2,1,1.7,1.6,0.5,11,,5,AFIS,0.5,12,2.38,13.392,estimated,31.9,Unknown,N.D.,-2.29,-0.5,Y,anonymsed,3,,anonymsed,anonymsed,3.0.0-1279.0,0.28
30/05/2023,anonymsed,None,SPA,0,Krios3,anonymsed,31/05/2023 13:06,,HoleyCarbon,FALSE,699,1925,1,Sample3,0.3,462,3,3,105,anonymsed,Gain normalized,.xml,6953,1,,0,2.1,869,1738,48,97,215000,0.576,2,1,1.7,1.6,0.4,17,,5,AFIS,0.5,12,1.62,21.099,estimated,34.2,Unknown,N.D.,xml read error,xml read error,Y,anonymsed,3,,anonymsed,anonymsed,3.0.0-1314.0,0.2
13/06/2023,anonymsed,None,SPA,1,Talos,anonymsed,13/06/2023 19:14,,HoleyCarbon,TRUE,1,1,15,Sample9,3,422,32,32,145,anonymsed,Mrc Non-Gain normalized,.mrc,616,1,,-0.1,11.6,53,614,22,250,63000,1.315,1.2,1.3,1.4,1.3,0,1,,4,Accrt,0.5,,4.46,12.434,calibrated,55.5,40,1.4,-3,-1.5,Y,anonymsed,5,,anonymsed,anonymsed,3.0.0-1163.0,0.09
19/06/2023,anonymsed,None,SPA,0,Krios1,anonymsed,19/06/2023 12:46,,HoleyCarbon,FALSE,351,648,4,Sample4,2,476,59,59,49,anonymsed,Tiff Lzw Non-Gain normalized,.jpg,82920,2,,0,30.9,672,20726,109,3373,105000,0.831,2,2,2.3,2.1,0.7,9,,5,AFIS,0.5,12,1.9,26.79,calibrated,51,50,1.1,-2,-0.5,Y,anonymsed,3,,anonymsed,anonymsed,3.0.0-1286.0,0.46
21/06/2023,anonymsed,None,SPA,0,Krios2,anonymsed,21/06/2023 20:07,,HoleyCarbon,FALSE,158,1351,1,Sample2,0.8,473,4,4,517,anonymsed,Tiff Lzw Non-Gain normalized,.xml,33724,2,,0.1,35.9,235,8430,38,1372,105000,0.831,2,1,1.7,1.1,0.7,5,,5,AFIS,1,12,2.81,21.722,estimated,61.1,70,0.9,xml read error,xml read error,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1279.0,0.16
28/06/2023,anonymsed,None,SPA,0,Krios2,anonymsed,28/06/2023 16:14,,HoleyCarbon,FALSE,818,1558,2,Sample3,0.4,487,40,40,219,anonymsed,Tiff Lzw Non-Gain normalized,.jpg,100872,2,,0.1,40.9,618,25215,101,4104,105000,0.831,1.2,1.3,1.2,1.3,0.8,3,,5,AFIS,0.5,12,2.65,21.722,estimated,57.6,60,1,-2.5,-1,Y,anonymsed,3,,anonymsed,anonymsed,3.0.0-1296.0,0.43
07/07/2023,anonymsed,None,SPA,0,Krios2,anonymsed,09/07/2023 14:18,,HoleyCarbon,FALSE,241,679,6,Sample7,1.1,864,12,12,20,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,2805,2,,0.1,1.6,438,700,119,190,81000,1.072,1.2,1.3,1.4,1.4,0.9,3,,5,AFIS,0.5,12,2.8,13.053,estimated,36.6,50,0.8,xml read error,xml read error,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-2057.0,0.5
17/07/2023,anonymsed,None,SPA,0,Krios2,anonymsed,17/07/2023 12:57,,HoleyCarbon,FALSE,237,570,5,Sample4,3.1,490,76,76,49,anonymsed,Tiff Lzw Non-Gain normalized,.xml,131302,2,,0.1,41.3,796,32822,80,3299,130000,0.653,2,1,2.4,1.6,0.6,12,,5,AFIS,0.5,12,1.17,35.178,estimated,41.2,50,0.9,-2,-0.8,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1320.0,0.34
17/07/2023,anonymsed,None,SPA,0,Krios4,anonymsed,17/07/2023 13:09,,HoleyCarbon,FALSE,151,382,6,Sample3,4.1,620,102,102,52,anonymsed,Tiff Lzw Non-Gain normalized,.xml,89162,2,,0,39.8,561,22288,149,5903,81000,1.06,2,2,2.2,2.1,1.2,5,,5,AFIS,0.5,12,2.89,13.35,estimated,38.6,54,0.8,-2,-0.8,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1566.0,0.63
19/07/2023,anonymsed,None,SPA,0,Krios1,anonymsed,20/07/2023 14:30,,HoleyCarbon,FALSE,584,1326,10,Sample7,0.5,490,8,8,508,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,45848,2,,0,18.7,613,11460,166,3104,81000,1.072,2,1,1.8,1.1,1,4,,5,AFIS,0.5,12,3.19,13.053,estimated,41.7,50,0.9,xml read error,xml read error,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1311.0,0.7
21/07/2023,anonymsed,None,SPA,0,Krios2,anonymsed,21/07/2023 13:24,,HoleyCarbon,FALSE,567,766,4,Sample2,1.4,801,47,47,63,anonymsed,Tiff Lzw Non-Gain normalized,.jpg,189774,2,,0.1,53.7,884,47438,89,4768,130000,0.653,3,2,2.8,2.1,0.6,16,,5,AFIS,0.5,12,0.97,41.275,calibrated,40.1,40,1.1,xml read error,xml read error,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1963.0,0.38
21/07/2023,anonymsed,None,SPA,1,Krios1,anonymsed,21/07/2023 14:34,,HoleyCarbon,FALSE,670,1129,7,Sample10,3.5,783,19,19,76,anonymsed,Tiff Lzw Non-Gain normalized,.jpg,15003,2,,0,15.5,243,3749,66,1015,81000,1.072,1.2,1.3,1.4,1.4,1,3,,5,AFIS,1,12,6.25,13.053,estimated,81.6,52,1.6,xml read error,xml read error,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1892.0,0.28
21/07/2023,anonymsed,None,SPA,1,Krios1,anonymsed,22/07/2023 10:17,,HoleyCarbon,FALSE,627,1233,7,Sample5,4.2,379,28,28,53,anonymsed,Tiff Lzw Non-Gain normalized,.xml,58971,2,,0,41,360,14740,98,3993,81000,1.072,3.5,3,4,2.7,1,10,,5,AFIS,1,12,6.25,13.053,estimated,81.6,52,1.6,xml read error,xml read error,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1112.0,0.42
21/07/2023,anonymsed,None,SPA,0,Krios1,anonymsed,22/07/2023 11:00,,HoleyCarbon,FALSE,627,1233,7,Sample2,1.4,381,3,3,62,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,4001,2,,0,1.8,556,1000,151,271,81000,1.072,3.5,3,4,2.7,1,10,,5,AFIS,1,12,3.08,13.053,estimated,40.3,46,0.9,xml read error,xml read error,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1118.0,0.64
26/07/2023,anonymsed,None,SPA,0,Krios4,anonymsed,26/07/2023 11:47,,HoleyCarbon,FALSE,199,485,4,Sample5,1.8,443,24,24,72,anonymsed,Tiff Lzw Non-Gain normalized,.xml,14679,2,,-29.9,1.3,345,429,34,43,130000,0.651,2,2,2.2,2.1,0.6,10,,5,Accrt,0.5,,0.9,35.394,estimated,31.9,40,0.8,-1.75,-0.75,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1221.0,0.14
26/07/2023,anonymsed,None,SPA,0,Krios2,anonymsed,26/07/2023 12:15,,HoleyCarbon,FALSE,785,1022,4,Sample5,3.2,489,108,108,56,anonymsed,Tiff Lzw Non-Gain normalized,.jpg,85062,2,,0,41.8,508,21226,138,5749,81000,1.072,2,2,2.1,2,1,5,,5,AFIS,0.5,12,3.34,13.053,estimated,43.6,50,0.9,-2.2,-0.8,Y,anonymsed,4,,anonymsed,anonymsed,3.0.0-1305.0,0.58
26/07/2023,anonymsed,None,SPA,0,Krios1,anonymsed,26/07/2023 12:59,,HoleyCarbon,FALSE,679,1128,3,Sample5,1.9,270,31,31,151,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,56002,2,,0,22.1,635,13998,103,2278,105000,0.831,1.2,1.3,1.3,1.4,0.8,3,,5,AFIS,1,12,2.14,21.722,estimated,46.5,50,1,xml read error,xml read error,Y,anonymsed,3,,anonymsed,anonymsed,3.0.0-865.0,0.44
28/07/2023,anonymsed,None,SPA,0,Krios1,anonymsed,28/07/2023 11:55,,HoleyCarbon,FALSE,316,652,4,Sample5,0.6,478,47,47,137,anonymsed,Tiff Lzw Non-Gain normalized,.xml,76009,2,,0,50.3,378,19000,102,5146,81000,1.072,1.2,1.3,1.4,1.3,0.9,3,,5,AFIS,0.5,12,3,13.053,estimated,39.2,50,0.8,-3,-0.6,Y,anonymsed,5,,anonymsed,anonymsed,3.0.0-1276.0,0.43
28/07/2023,anonymsed,None,SPA,0,Krios1,anonymsed,28/07/2023 12:16,,HoleyCarbon,FALSE,316,652,4,Sample2,1.3,472,42,42,203,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,99846,2,,0,98.1,255,24960,69,6761,81000,1.072,1.2,1.3,1.4,1.3,0.9,3,,5,AFIS,0.5,12,3,13.053,estimated,39.2,50,0.8,xml read error,xml read error,Y,anonymsed,4,,anonymsed,anonymsed,3.0.0-1269.0,0.29
28/07/2023,anonymsed,None,SPA,0,Krios4,anonymsed,28/07/2023 14:28,,HoleyCarbon,FALSE,0,65535,10,Sample7,3.2,171,4,4,608,anonymsed,Tiff Lzw Non-Gain normalized,.mrc,14019,2,,0,5,704,3500,114,567,105000,0.829,1.2,1.3,1.2,1.3,0.9,3,,5,AFIS,0.5,12,2.15,21.827,estimated,47,50,1,-2,-1,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-664.0,0.48
31/07/2023,anonymsed,None,SPA,0,Krios4,anonymsed,31/07/2023 13:26,,HoleyCarbon,FALSE,493,655,11,Sample10,1.5,194,23,23,268,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,66207,2,,0,26.7,622,16548,101,2680,105000,0.829,1.2,1.3,1.3,1.3,0.9,4,,5,AFIS,0.5,12,2.63,22.845,calibrated,60.1,50,1.3,-3.5,-1.5,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-710.0,0.43
21/08/2023,anonymsed,None,SPA,0,Krios2,anonymsed,20/08/2023 13:21,,HoleyCarbon,FALSE,1022,1417,11,Sample9,8.7,389,2,2,158,anonymsed,Mrc Gain normalized,.xml,2000,2,,0.1,2.6,195,500,32,81,105000,0.831,1.2,1.3,1.4,1.3,0.8,3,,5,Accrt,0.5,,1.93,21.722,estimated,42,50,0.9,xml read error,xml read error,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1105.0,0.14
21/08/2023,anonymsed,None,SPA,0,Krios2,anonymsed,20/08/2023 13:21,,HoleyCarbon,FALSE,1022,1417,11,Sample7,5.9,331,3,3,62,anonymsed,Mrc Gain normalized,.xml,2000,2,,0.1,2.6,194,500,32,81,105000,0.831,1.2,1.3,1.4,1.3,0.8,3,,5,Accrt,0.5,,1.93,21.722,estimated,42,50,0.9,xml read error,xml read error,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-989.0,0.14
21/08/2023,anonymsed,None,SPA,0,Krios2,anonymsed,20/08/2023 13:21,,HoleyCarbon,FALSE,1022,1417,11,Sample5,3.2,476,2,2,114,anonymsed,Mrc Gain normalized,.mrc,2000,2,,0.1,2.6,197,500,32,81,105000,0.831,1.2,1.3,1.4,1.3,0.8,3,,5,Accrt,0.5,,1.93,21.722,estimated,42,50,0.9,xml read error,xml read error,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1279.0,0.14
21/08/2023,anonymsed,None,SPA,0,Krios2,anonymsed,20/08/2023 13:24,,HoleyCarbon,FALSE,1022,1417,11,Sample3,0.4,248,3,3,140,anonymsed,Mrc Gain normalized,.mrc,2003,2,,0,2.7,188,500,31,81,105000,0.831,1.2,1.3,1.4,1.3,0.8,3,,5,Accrt,0.5,,1.93,21.722,estimated,42,50,0.9,xml read error,xml read error,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-823.0,0.13
08/09/2023,anonymsed,None,SPA,0,Krios2,anonymsed,08/09/2023 13:58,,HoleyCarbon,FALSE,626,1039,4,Sample5,1.4,516,22,22,206,anonymsed,Tiff Lzw Non-Gain normalized,.xml,52081,2,,0.1,35.6,366,13020,60,2119,105000,0.831,1.2,1.3,1.4,1.4,0.8,3,,5,AFIS,5,12,2.23,21.722,estimated,48.5,50,1,-2.6,-1.2,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1353.0,0.25
11/09/2023,anonymsed,None,SPA,0,Krios1,anonymsed,11/09/2023 13:56,,HoleyCarbon,FALSE,856,1607,6,Sample4,7.9,227,72,72,151,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,23357,2,,0,22.1,264,5823,113,2501,64000,1.35,1.2,1.3,1.5,1.4,1.4,1,,5,AFIS,1,12,5.02,8.231,estimated,41.4,45,1,-3,-0.75,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-772.0,0.48
11/09/2023,anonymsed,None,SPA,0,Krios2,anonymsed,11/09/2023 16:52,,HoleyCarbon,FALSE,580,971,4,Sample3,2.3,339,63,63,95,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,68142,2,,0.1,25,682,17024,111,2771,105000,0.831,1.2,1.3,1.5,1.4,0.8,4,,5,AFIS,0.5,12,1.79,21.722,estimated,38.9,40,1,-2.4,-0.8,N,anonymsed,0,0,anonymsed,anonymsed,3.0.0-1002.0,0.47